"Mode 1","q = (0.000, 0.000, 0.000), band = 1"
"Mode 2","q = (0.000, 0.000, 0.000), band = 2"

"Modulation #","Q_1 [amu^1/2 A]","Q_2 [amu^1/2 A]"
"722","4.0","-3.5"
"723","4.0","-3.0"
"724","4.0","-2.5"
"725","4.0","-2.0"
"726","4.0","-1.5"
"727","4.0","-1.0"
"728","4.0","-0.5"
"729","4.0","0.0"
"730","4.0","0.5"
"731","4.0","1.0"
"732","4.0","1.5"
"733","4.0","2.0"
"734","4.0","2.5"
"735","4.0","3.0"
"736","4.0","3.5"
"737","4.0","4.0"
"738","4.0","4.5"
"739","4.0","5.0"
"740","4.0","5.5"
"741","4.0","6.0"
"742","4.0","6.5"
"743","4.0","7.0"
"744","4.0","7.5"
"745","4.5","-7.5"
"746","4.5","-7.0"
"747","4.5","-6.5"
"748","4.5","-6.0"
"749","4.5","-5.5"
"750","4.5","-5.0"
"751","4.5","-4.5"
"752","4.5","-4.0"
"753","4.5","-3.5"
"754","4.5","-3.0"
"755","4.5","-2.5"
"756","4.5","-2.0"
"757","4.5","-1.5"
"758","4.5","-1.0"
"759","4.5","-0.5"
"760","4.5","0.0"
"761","4.5","0.5"
"762","4.5","1.0"
"763","4.5","1.5"
"764","4.5","2.0"
"765","4.5","2.5"
"766","4.5","3.0"
"767","4.5","3.5"
"768","4.5","4.0"
"769","4.5","4.5"
"770","4.5","5.0"
"771","4.5","5.5"
"772","4.5","6.0"
"773","4.5","6.5"
"774","4.5","7.0"
"775","4.5","7.5"
"776","5.0","-7.5"
"777","5.0","-7.0"
"778","5.0","-6.5"
"779","5.0","-6.0"
"780","5.0","-5.5"
"781","5.0","-5.0"
"782","5.0","-4.5"
"783","5.0","-4.0"
"784","5.0","-3.5"
"785","5.0","-3.0"
"786","5.0","-2.5"
"787","5.0","-2.0"
"788","5.0","-1.5"
"789","5.0","-1.0"
"790","5.0","-0.5"
"791","5.0","0.0"
"792","5.0","0.5"
"793","5.0","1.0"
"794","5.0","1.5"
"795","5.0","2.0"
"796","5.0","2.5"
"797","5.0","3.0"
"798","5.0","3.5"
"799","5.0","4.0"
"800","5.0","4.5"
"801","5.0","5.0"
"802","5.0","5.5"
"803","5.0","6.0"
"804","5.0","6.5"
"805","5.0","7.0"
"806","5.0","7.5"
"807","5.5","-7.5"
"808","5.5","-7.0"
"809","5.5","-6.5"
"810","5.5","-6.0"
"811","5.5","-5.5"
"812","5.5","-5.0"
"813","5.5","-4.5"
"814","5.5","-4.0"
"815","5.5","-3.5"
"816","5.5","-3.0"
"817","5.5","-2.5"
"818","5.5","-2.0"
"819","5.5","-1.5"
"820","5.5","-1.0"
"821","5.5","-0.5"
"822","5.5","0.0"
"823","5.5","0.5"
"824","5.5","1.0"
"825","5.5","1.5"
"826","5.5","2.0"
"827","5.5","2.5"
"828","5.5","3.0"
"829","5.5","3.5"
"830","5.5","4.0"
"831","5.5","4.5"
"832","5.5","5.0"
"833","5.5","5.5"
"834","5.5","6.0"
"835","5.5","6.5"
"836","5.5","7.0"
"837","5.5","7.5"
"838","6.0","-7.5"
"839","6.0","-7.0"
"840","6.0","-6.5"
